id;entity_type;new_data;status;created_by;approved_by;created_at;updated_at
1;considerate badly although;../fake-data/blob/hipster.txt;APPROVED;lest assail abacus;times forgo;2025-04-01T10:38:25;2025-04-01T08:21:32
2;free;../fake-data/blob/hipster.txt;APPROVED;concerning to;which yummy;2025-04-01T01:05:07;2025-03-31T21:30:31
3;ha;../fake-data/blob/hipster.txt;REJECTED;excluding other feline;hastily drag;2025-04-01T00:05:49;2025-03-31T22:52:42
4;questionable;../fake-data/blob/hipster.txt;APPROVED;rot furthermore;hence;2025-03-31T22:26:28;2025-04-01T09:49:23
5;sympathetically parade;../fake-data/blob/hipster.txt;REJECTED;grumpy circular;sans vastly;2025-04-01T10:16:13;2025-04-01T12:45:11
6;even guide;../fake-data/blob/hipster.txt;APPROVED;heavily;pilot now cake;2025-04-01T14:52:32;2025-04-01T01:21:59
7;than hamburger;../fake-data/blob/hipster.txt;PENDING;noisily;fatal;2025-04-01T09:31:32;2025-04-01T05:18:49
8;concrete doing;../fake-data/blob/hipster.txt;PENDING;aha;behind midst giant;2025-04-01T06:51:58;2025-03-31T23:32:52
9;gladly pessimistic exactly;../fake-data/blob/hipster.txt;PENDING;ethyl armchair popularity;annually implode tabulate;2025-04-01T05:49:47;2025-04-01T10:29:51
10;at;../fake-data/blob/hipster.txt;REJECTED;making boo orient;well afore than;2025-04-01T07:39:31;2025-04-01T12:57:11
