id;event;description;crea_date;update_date;notes
1;sun following;axe verbally;2025-03-21;2025-03-21;reschedule torn gigantic
2;shout;jump;2025-03-20;2025-03-20;wretched reproach brr
3;adjourn whether;doubtfully;2025-03-20;2025-03-20;round
4;of gestate scrabble;nauseate;2025-03-20;2025-03-21;versus experienced what
5;worthless questionably;ha likewise beard;2025-03-20;2025-03-21;except
6;a accredit harp;preside;2025-03-20;2025-03-20;than oof
7;sesame;stunt;2025-03-20;2025-03-20;step
8;among unlawful;what brr;2025-03-21;2025-03-20;excluding
9;weatherize boohoo;ugh when communicate;2025-03-20;2025-03-20;refute
10;furthermore on gosh;bathrobe upwardly boohoo;2025-03-21;2025-03-20;distorted supposing notwithstanding
