id;type;description;crea_date;update_date;notes
1;terrorise;lieu even angrily;2025-03-20;2025-03-20;immediately dead
2;phew;cheerfully;2025-03-21;2025-03-20;slowly lace deceivingly
3;whenever;quiet;2025-03-20;2025-03-21;demobilise oh brr
4;regarding haul huzzah;slowly zen;2025-03-21;2025-03-20;offset yowza cycle
5;subtract helpless beep;even priesthood;2025-03-20;2025-03-21;phew
6;toady but entrench;about commandeer provided;2025-03-21;2025-03-20;bare edge above
7;christen exalted pleasure;snoopy;2025-03-21;2025-03-20;baptise cease
8;unwieldy zowie ick;gallivant;2025-03-21;2025-03-21;lovable upbeat
9;unnaturally determined;obnoxiously woot;2025-03-21;2025-03-21;bandwidth pronoun
10;castanet iterate;restructure;2025-03-21;2025-03-21;materialise alongside
