id;size_name;size_code;size_description;crea_date;update_date;notes
1;frugal yuck reassuringly;furthermore blah behind;e-mail black-and-white;2025-03-20;2025-03-20;wherever
2;slipper shady than;frightfully cleverly aside;brr;2025-03-21;2025-03-21;ghost
3;square;nor;whoever;2025-03-21;2025-03-21;ha
4;hungrily;inasmuch once given;approximate up circa;2025-03-20;2025-03-20;extent between
5;noon coin until;extremely boohoo sheathe;ha now scent;2025-03-21;2025-03-20;in traditionalism sarong
6;unaware stylish during;passport hmph up;supposing sick proselytise;2025-03-20;2025-03-21;mmm than
7;ghost;actually surprisingly;blight forenenst than;2025-03-21;2025-03-21;inside jive mountain
8;coolly without;beyond round up;which clear-cut;2025-03-20;2025-03-21;from along floodlight
9;uselessly;and;excitedly thorny;2025-03-20;2025-03-21;rudely
10;never beautifully;wrongly gosh;very blah likewise;2025-03-21;2025-03-20;finished aha
