id;type;description;crea_date;update_date;notes
1;doubter barring;kowtow;2025-03-21;2025-03-21;outside so given
2;mild abaft worth;pointless;2025-03-21;2025-03-20;excluding
3;pasta rag;stained reward dreary;2025-03-20;2025-03-21;strictly beside
4;narrow when lest;royal fen rosin;2025-03-21;2025-03-21;repossess frankly
5;coarse octave rubbery;consequently boastfully telescope;2025-03-21;2025-03-21;woot
6;gum settler astride;reapply discourse merrily;2025-03-21;2025-03-20;waltz underneath
7;because brr trick;disposer safeguard;2025-03-21;2025-03-21;bah
8;jovially;switch;2025-03-20;2025-03-20;aw amend ah
9;pish shoot;showboat wash though;2025-03-20;2025-03-20;failing misguided
10;ick an handful;even gah triumphantly;2025-03-20;2025-03-21;meanwhile natural
