id;countryname;countrycode;country_flagcode;country_flag;notes;crea_date;update_date
1;whoa writhing;and immediately;boohoo lifestyle admired;well-lit opposite true;meh gulp defiantly;2025-03-21;2025-03-20
2;um;machine;upon seafood lovingly;boohoo swine ah;dispose huzzah inwardly;2025-03-21;2025-03-20
3;serenade alienated;advertisement;athwart equally deselect;when ambitious ah;times;2025-03-20;2025-03-20
4;abaft;adolescent where;roughly upside-down;gadzooks;toothpick;2025-03-21;2025-03-21
5;requite brush;unlucky;range;unnecessarily happy-go-lucky;story trust;2025-03-20;2025-03-20
6;second-hand afore incidentally;psst towards;ah even;yowza;noon forager lucky;2025-03-21;2025-03-21
7;athletic flashy;offset ugh;flight;including officially;as;2025-03-20;2025-03-20
8;behold yet;upon;wherever hmph by;for gracefully softly;for blue considering;2025-03-21;2025-03-20
9;mostly eyeliner last;knottily;hippodrome compromise madly;huzzah ack ah;meh abnormally beyond;2025-03-21;2025-03-20
10;across ick yuck;nor where;anenst continually glorious;for gee;sore lack;2025-03-21;2025-03-20
