id;name;crea_date;update_date;notes
1;midst;2025-03-21;2025-03-20;near beneath hmph
2;the times furthermore;2025-03-20;2025-03-21;suburban
3;quirkily;2025-03-21;2025-03-20;mmm gosh remark
4;unlike meanwhile mid;2025-03-20;2025-03-21;amongst
5;geez moor;2025-03-21;2025-03-21;construe
6;swordfish pike;2025-03-20;2025-03-20;gosh bouncy
7;yet nor;2025-03-21;2025-03-20;triangular parallel mainstream
8;necessary why;2025-03-21;2025-03-21;brr
9;yowza aside vengeful;2025-03-20;2025-03-21;gleefully complicated
10;as urgently honorable;2025-03-20;2025-03-21;onto even stuff
