id;name;code;crea_date;update_date;notes
1;huzzah through diligently;unless pretty;2025-03-20;2025-03-21;boldly
2;boohoo advanced why;skyscraper;2025-03-20;2025-03-21;tabletop
3;that;for qualified unless;2025-03-21;2025-03-20;overload
4;till stigmatize;rectangular sticker aha;2025-03-21;2025-03-20;incinerate yearningly inasmuch
5;vaguely;limply;2025-03-20;2025-03-21;reproach syringe
6;as video;and mainstream;2025-03-20;2025-03-21;baggy sophisticated ouch
7;boo attest likewise;truly vivid;2025-03-21;2025-03-21;jaunty
8;made-up or;phooey delightfully;2025-03-21;2025-03-20;who blah ick
9;while official brood;slow;2025-03-20;2025-03-20;along
10;mozzarella offend yowza;teeming cruelly;2025-03-20;2025-03-21;midst
