id;name;code;api_version;description;notes;crea_date;update_date
1;even geez;braid reconsideration section;hammock;nor quintuple jungle;ack educated;2025-03-21;2025-03-21
2;times;ack lounge outrank;unless t-shirt;suspension rundown down;before secret productive;2025-03-21;2025-03-21
3;solicit from;helpful incidentally abaft;jovially;scorpion whoa typewriter;account profane aha;2025-03-21;2025-03-21
4;whoever outrank creaking;greatly;fooey hmph;ick ugh readily;since obediently;2025-03-21;2025-03-21
5;supposing;consequently now;carelessly;mmm;aha;2025-03-20;2025-03-20
6;whereas;woot as;psst shrilly obnoxiously;drat;lest oof interestingly;2025-03-20;2025-03-20
7;besides;aha whose artistic;boohoo;valentine generously;realistic anti boohoo;2025-03-21;2025-03-21
8;or pushy to;which who;sans thoroughly;fooey busy;ample after boring;2025-03-21;2025-03-20
9;even labourer;typify forager better;bah supposing proceed;smug ouch toward;pish what calmly;2025-03-20;2025-03-21
10;till;redevelop consequently;strong psst whether;next shred;well yum;2025-03-20;2025-03-21
