id;name;crea_date;update_date;notes
1;coolly gah however;2025-03-20;2025-03-21;woefully abaft
2;cantaloupe mechanically;2025-03-21;2025-03-21;adumbrate
3;yahoo colorless;2025-03-21;2025-03-20;orientate eternity plus
4;coordinated;2025-03-20;2025-03-21;snuggle antelope utilized
5;appropriate cease;2025-03-20;2025-03-21;where mouser made-up
6;mentor cake meh;2025-03-21;2025-03-21;kindheartedly tame
7;gifted strident;2025-03-21;2025-03-20;expatiate
8;charlatan perfection;2025-03-20;2025-03-21;within furthermore populist
9;instantly subtract;2025-03-21;2025-03-21;oblong unkempt
10;pfft now wetly;2025-03-20;2025-03-21;incidentally provided duh
