id;name;crea_date;update_date;notes
1;especially;2025-03-20;2025-03-21;seldom down
2;meh;2025-03-20;2025-03-21;finally
3;aha that;2025-03-21;2025-03-21;yuppify disloyal
4;when;2025-03-21;2025-03-20;gadzooks
5;openly phew shyly;2025-03-21;2025-03-21;along enormously
6;huff off;2025-03-21;2025-03-21;without reproachfully mostly
7;patiently;2025-03-21;2025-03-20;through crumble
8;frank promise;2025-03-20;2025-03-20;times
9;whether;2025-03-20;2025-03-20;more afore disappointment
10;delete aside;2025-03-20;2025-03-20;bin whether
