id;name;code;crea_date;update_date;notes
1;nice;since;2025-03-21;2025-03-20;phew
2;so the;wholly rule coexist;2025-03-20;2025-03-21;hm
3;story;frightfully vision;2025-03-20;2025-03-20;though cornet
4;even;fashion;2025-03-21;2025-03-20;hmph weakly as
5;via blah;less;2025-03-20;2025-03-20;whereas
6;diagram yuck;but siege;2025-03-21;2025-03-21;icy gadzooks
7;frizz uniform average;so;2025-03-20;2025-03-21;but trash unruly
8;and coop;outside anti;2025-03-21;2025-03-21;slowly mortise indeed
9;wisely;stale wavy yowza;2025-03-20;2025-03-21;near vacantly overfeed
10;though;phew department;2025-03-21;2025-03-21;an
