id;name;code;logo;notes;crea_date;update_date
1;pish self-reliant;so round warmhearted;annual;overspend;2025-03-21;2025-03-20
2;how;playfully;investigate;focused shaft;2025-03-21;2025-03-21
3;concerning elementary ha;barring;secularize regarding instead;mmm bus before;2025-03-20;2025-03-20
4;throughout;about;quaintly next furthermore;gadzooks sideboard creature;2025-03-20;2025-03-21
5;pretty;deed egg concerning;aw;fiercely;2025-03-20;2025-03-21
6;passionate conversation venom;disbar banish supposing;yet;jovially;2025-03-21;2025-03-20
7;forenenst understanding wisecrack;although er atomize;sniff pish;concrete godfather mmm;2025-03-20;2025-03-21
8;recovery paralyse gracefully;individual commemorate pish;vice accompany;safely boldly for;2025-03-21;2025-03-20
9;ripe improbable carefully;encouragement yieldingly commodity;before rapid boo;um off;2025-03-20;2025-03-21
10;cop failing because;membership ugh grandson;puzzled;fireplace highlight;2025-03-20;2025-03-21
