id;code;ref_contract;start_deployement_date;end_deployement_date;crea_date;update_date;notes
1;furthermore nor duffel;boohoo;2025-03-21;2025-03-20;2025-03-20;2025-03-21;depot
2;oddball;concentration;2025-03-21;2025-03-20;2025-03-21;2025-03-20;after dividend
3;how yet;thick;2025-03-21;2025-03-20;2025-03-21;2025-03-20;athwart untimely brilliant
4;even lounge;internalize righteously unethically;2025-03-20;2025-03-20;2025-03-20;2025-03-20;straw yippee
5;yowza analogy;exploration entry birth;2025-03-21;2025-03-20;2025-03-21;2025-03-20;norm menacing
6;instead wash;duh aggravating athwart;2025-03-21;2025-03-20;2025-03-20;2025-03-20;yippee boohoo
7;galoshes essential uh-huh;cruelly gee reckless;2025-03-21;2025-03-20;2025-03-21;2025-03-20;wire
8;across around sophisticated;mystify until;2025-03-20;2025-03-21;2025-03-20;2025-03-21;uh-huh collectivization gee
9;planula railway wee;uh-huh after;2025-03-21;2025-03-20;2025-03-20;2025-03-21;verve growing
10;pity;about bah;2025-03-20;2025-03-20;2025-03-20;2025-03-21;smuggle
