id;name;code;crea_date;update_date;notes
1;afore suspiciously curse;graceful;2025-03-21;2025-03-20;than hopeful repeatedly
2;jellyfish;abseil alongside heighten;2025-03-20;2025-03-20;orchid a among
3;woot;mostly;2025-03-21;2025-03-20;gah
4;guard internationalize receptor;slipper selfishly;2025-03-21;2025-03-20;celebrated meanwhile bah
5;tool unless quaintly;above superior;2025-03-21;2025-03-20;silver freight
6;splurge;dreamily;2025-03-20;2025-03-21;boohoo
7;before;which incline ew;2025-03-20;2025-03-21;because
8;unnaturally tail fragrant;see ick;2025-03-21;2025-03-20;instead throughout
9;reporter;across;2025-03-20;2025-03-20;inasmuch whose table
10;mmm where underneath;consign deform custody;2025-03-21;2025-03-20;confirm orientate
